Date,cluster_name,org_name,partner #1_name,partner #2_name,ADMIN1_ID,ADMIN1_NAME_ENG,ADMIN2_ID,ADMIN2_NAME_UKR,area_type,status_name,ACTIVITY,ACTIVITY_START,ACTIVITY_END,NUMBER_REACHED,COMMENTS
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1424200000,Slovianskyi,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,89,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1425500000,Yasynuvatskyi,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,89,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1422700000,Krasnoarmiiskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,89,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,89,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1425500000,Yasynuvatskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,89,
01-Aug-16,Education,3vAgd,#N/A,,4400000000,Luhanska,4412100000,Pervomaisk,NGCA,Completed,School Kits,30-Dec-99,30-Dec-99,88,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1422700000,Krasnoarmiiskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,88,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421700000,Volodarskyi,GCA,Completed,School Kits,30-Dec-99,30-Dec-99,88,
01-Aug-16,Education,"Children's Non-Governmental Organization ""Class""",,,4400000000,Luhanska,,,GCA,Ongoing,Non-Formal and Life Skills Education,30-Dec-99,30-Dec-99,87,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1421500000,Volnovaskyi,GCA,Ongoing,School Equipment,30-Dec-99,30-Dec-99,86,
01-Aug-16,Education,United Nations Children's Fund,,,1400000000,Donetska,1411200000,Dzerzhynsk,GCA,Completed,Emergency Repairs,30-Dec-99,30-Dec-99,85,
