Date,cluster_name,org_name,partner #1_name,partner #2_name,ADMIN1_NAME_ENG,ADMIN2_NAME_UKR,area_type,status_name,ACTIVITY,ACTIVITY_START,ACTIVITY_END,NUMBER_REACHED
01-Jan-16,Health_Nutrition,World Health Organization,,,Kharkivska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Горлівка,GCA,Planned,Voucher for free medicines,20-Feb-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,World Health Organization,,,Zaporizka,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,International Committee of the Red Cross,,,Luhanska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,,,0
01-Jan-16,Health_Nutrition,Action contre la Faim,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,IYCF counselling (under 2 y. o.),01-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,Action contre la Faim,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,IYCF counselling (under 2 y. o.),01-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,Action contre la Faim,,,Luhanska,Сєвєродонецьк,GCA,Planned,IYCF-E training,06-Oct-15,31-Mar-16,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Luhanska,Артемівськ,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Артемівський,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Авдіївка,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Авдіївка,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Дзержинськ,GCA,Planned,Nutrition activities for PLW,01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Дзержинськ,GCA,Planned,IYCF promotion campaign (under 2 y. o.),01-May-16,30-Apr-17,0
01-Jan-16,Health_Nutrition,Premiere Urgence - Aide Medicale Internationale,,,Donetska,Горлівка,GCA,Ongoing,Nutrition activities for PLW,09-Dec-15,30-Apr-17,0
01-Jan-16,Health_Nutrition,World Health Organization,,,Poltavska,,GCA,Ongoing,Direct support to hospitals and medical points in sanatoriums,29-Jan-16,,0
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Luhanska,Сєвєродонецьк,GCA,Ongoing,Improve access to comprehensive healthcare services,,,567
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Dnipropetrovska,Криворізький,GCA,Ongoing,Improve access to comprehensive healthcare services,,,588
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Dnipropetrovska,Павлоград,GCA,Ongoing,Improve access to comprehensive healthcare services,,,570
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Dnipropetrovska,Дніпродзержинськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,503
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Donetska,,GCA,Ongoing,Improve access to comprehensive healthcare services,,,778
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Donetska,Краматорськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,740
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Donetska,Краматорськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,722
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Donetska,Красний Лиман,GCA,Ongoing,Improve access to comprehensive healthcare services,,,756
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Donetska,Слов'янськ,GCA,Ongoing,Improve access to comprehensive healthcare services,,,705
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Donetska,Слов'янський,GCA,Ongoing,Improve access to comprehensive healthcare services,,,636
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Zaporizka,Гуляйпільський,GCA,Ongoing,Improve access to comprehensive healthcare services,,,477
01-Jan-16,Health_Nutrition,Ukrainian Red Cross Society,World Health Organization,,Luhanska,Біловодський,GCA,Ongoing,Improve access to comprehensive healthcare services,,,681
01-Feb-16,WASH,Action contre la Faim,,,Luhanska,Попаснянський,GCA,Planned,Distribution of hygine items/kits,01-Apr-15,31-May-16,2000
01-Feb-16,WASH,Action contre la Faim,,,Luhanska,Попаснянський,GCA,Planned,Distribution of hygine items/kits,01-Apr-15,31-Mar-16,2000
01-Feb-16,WASH,Action contre la Faim,,,Luhanska,Новоайдарський,GCA,Completed,Repair/rehabilitation of decentralized/private water system,01-Apr-15,31-May-16,0
01-Feb-16,WASH,Action contre la Faim,,,Luhanska,Сєвєродонецьк,GCA,Ongoing,Provision of household water storage (jerry cans etc),01-Apr-15,31-May-16,0
01-Feb-16,WASH,Action contre la Faim,,,Luhanska,Попаснянський,GCA,Planned,Water trucking,01-Apr-15,31-May-16,2500
01-Feb-16,WASH,Action contre la Faim,,,Luhanska,Попаснянський,GCA,Planned,Repair/rehabilitation of decentralized/private water system,01-Apr-15,31-May-16,2500
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Селидове,GCA,Completed,Distribution of hygine items/kits,01-Feb-16,03-Mar-16,706
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Дзержинськ,GCA,Completed,Distribution of hygine items/kits,02-Mar-16,03-Mar-16,478
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Мар'їнський,GCA,Completed,Distribution of hygine items/kits,21-Jan-16,29-Feb-16,281
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Мар'їнський,GCA,Completed,Distribution of hygine items/kits,21-Jan-16,29-Feb-16,196
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Мар'їнський,GCA,Completed,Distribution of hygine items/kits,21-Jan-16,29-Feb-16,56
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Артемівськ,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,394
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Селидове,GCA,Completed,Distribution of hygine items/kits,01-Feb-16,03-Mar-16,206
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Селидове,GCA,Completed,Distribution of hygine items/kits,01-Feb-16,03-Mar-16,896
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Мар'їнський,GCA,Completed,Distribution of hygine items/kits,21-Jan-16,29-Feb-16,1662
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Дзержинськ,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,212
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,,GCA,Completed,Distribution of hygine items/kits,01-Feb-16,03-Mar-16,142
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,378
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Luhanska,Сватівський,GCA,Completed,Hygiene promotion,01-Jan-16,,212
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Краматорськ,GCA,Ongoing,Hygiene promotion,01-Jan-16,,15000
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Donetska,Краматорськ,GCA,Ongoing,Hygiene promotion,01-Jan-16,,7000
01-Feb-16,WASH,Adventist Development and Relief Agency,United Nations Children's Fund,,Luhanska,Рубіжне,GCA,Completed,Distribution of hygine items/kits,02-Feb-16,04-Mar-16,381
01-Jan-16,Livelihoods,People In Need,,,Donetska,Артемівськ,GCA,Ongoing,Other,,,199
01-Jan-16,Livelihoods,People In Need,,,Donetska,Краматорськ,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Donetska,Добропілля,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Donetska,Костянтинівка,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Donetska,Дружківка,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Donetska,Слов'янськ,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Donetska,Красний Лиман,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Donetska,Димитров,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Donetska,Дзержинськ,GCA,Ongoing,Other,,,0
01-Jan-16,Livelihoods,People In Need,,,Luhanska,Кремінський,GCA,Ongoing,Other,,,0
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,Артемівськ,GCA,Ongoing,Emergency repairs to educational infrastructure inclusive of WASH,01-Mar-15,,337
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,Костянтинівка,GCA,Ongoing,Emergency repairs to educational infrastructure inclusive of WASH,01-Mar-15,,646
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,Краматорськ,GCA,Ongoing,Emergency repairs to educational infrastructure inclusive of WASH,01-Mar-15,,4092
01-Feb-16,Education,United Nations Children's Fund,,,Donetska,Красний Лиман,GCA,Ongoing,Emergency repairs to educational infrastructure inclusive of WASH,01-Mar-15,,781
01-Jan-16,Education,Save the Children International,,,Zaporizka,Бердянськ,GCA,Ongoing,"Catch-up classes, summer camps",11-Jan-15,31-Mar-16,92
01-Jan-16,Education,Save the Children International,,,Dnipropetrovska,Межівський,GCA,Ongoing,"Catch-up classes, summer camps",10-Nov-15,31-Mar-16,1055
01-Jan-16,Education,Save the Children International,,,Zaporizka,Мелітополь,GCA,Ongoing,Development of ECCD units,23-Dec-15,31-Mar-16,29
01-Jan-16,Education,Save the Children International,,,Zaporizka,Бердянськ,GCA,Ongoing,"Catch-up classes, summer camps",12-Jan-15,31-Mar-16,255
01-Jan-16,Education,Save the Children International,,,Dnipropetrovska,Межівський,GCA,Ongoing,"Catch-up classes, summer camps",12-Jan-15,31-Mar-16,30
01-Jan-16,Education,Save the Children International,,,Donetska,Артемівськ,GCA,Completed,Capacity building for teachers,21-Jan-16,28-Feb-16,26
01-Jan-16,Education,Save the Children International,,,Donetska,Слов'янськ,GCA,Completed,Capacity building for teachers,19-Jan-16,01-Feb-16,6
01-Jan-16,Education,Norwegian Refugee Council,,,Luhanska,Станично-Луганський,GCA,Completed,Emergency repairs to educational infrastructure inclusive of WASH,24-Nov-15,22-Jan-16,240
01-Jan-16,Education,Norwegian Refugee Council,,,Luhanska,Новоайдарський,GCA,Completed,Emergency repairs to educational infrastructure inclusive of WASH,11-Jan-15,11-Jan-16,42
01-Jan-16,Education,Adventist Development and Relief Agency,,,Kyiv,,GCA,Ongoing,"Catch-up classes, summer camps",01-Nov-15,31-May-16,144
01-Jan-16,Education,"Kharkiv Association of mothers of large families ""AMMA""",,,Kharkivska,Харків,GCA,Ongoing,"Catch-up classes, summer camps",01-Oct-15,,949
01-Jan-16,Education,Kharkiv Platform of Culture and Tourism Development ,,,Kharkivska,Харків,GCA,Planned,"Catch-up classes, summer camps",01-Jan-16,,3000
01-Jan-16,Education,Crimea SOS,,,Kyiv,,GCA,Planned,Children benefitting from learning materials,01-Jan-16,31-Dec-16,300
01-Jan-16,Education,Crimea SOS,,,Lvivska,Львів,GCA,Planned,Children benefitting from learning materials,01-Jan-16,31-Dec-16,150
01-Jan-16,Education,Crimea SOS,,,Khersonska,Херсон,GCA,Planned,Children benefitting from learning materials,01-Jan-16,31-Dec-16,150
01-Jan-16,Education,Crimea SOS,,,Kyiv,,GCA,Planned,"Catch-up classes, summer camps",01-Jan-16,31-Dec-16,500
01-Jan-16,Education,United Nations Children's Fund,,,Kharkivska,,GCA,Planned,Emergency repairs to educational infrastructure inclusive of WASH,26-Jan-16,,1500
01-Jan-16,Education,United Nations Children's Fund,,,Donetska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Jan-16,Education,United Nations Children's Fund,,,Luhanska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Jan-16,Education,United Nations Children's Fund,,,Dnipropetrovska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Jan-16,Education,United Nations Children's Fund,,,Zaporizka,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Jan-16,Education,United Nations Children's Fund,,,Kharkivska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,2000
01-Jan-16,Education,United Nations Children's Fund,,,Donetska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Jan-16,Education,United Nations Children's Fund,,,Luhanska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Jan-16,Education,United Nations Children's Fund,,,Dnipropetrovska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Jan-16,Education,United Nations Children's Fund,,,Zaporizka,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Jan-16,Education,United Nations Children's Fund,,,Kharkivska,,GCA,Planned,Capacity building of parents/caregivers,26-Jan-16,,200
01-Jan-16,Education,United Nations Children's Fund,,,Donetska,,GCA,Ongoing,Life skills education and improve resilience,01-Jan-16,,10648
01-Jan-16,Education,United Nations Children's Fund,,,Luhanska,,GCA,Ongoing,Life skills education and improve resilience,01-Jan-16,,10648
01-Jan-16,Education,United Nations Children's Fund,,,Dnipropetrovska,,GCA,Ongoing,Life skills education and improve resilience,01-Jan-16,,10648
01-Jan-16,Education,United Nations Children's Fund,,,Kharkivska,,GCA,Ongoing,Life skills education and improve resilience,01-Jan-16,,10648
01-Jan-16,Education,United Nations Children's Fund,,,Zaporizka,,GCA,Ongoing,Life skills education and improve resilience,01-Jan-16,,10648
01-Jan-16,Education,Caritas Ukraine,,,Kharkivska,Харків,GCA,Ongoing,"Catch-up classes, summer camps",13-Jan-16,31-Mar-16,234
01-Jan-16,Education,Ukrainian Frontiers,,,Kharkivska,Харків,GCA,Ongoing,Development of ECCD units,01-Dec-15,01-Sep-16,638
01-Jan-16,Education,Ukrainian Frontiers,,,Kharkivska,Харків,GCA,Completed,"Catch-up classes, summer camps",01-Jan-16,01-Feb-16,252
01-Jan-16,Education,Ukrainian Frontiers,,,Kharkivska,Чугуїв,GCA,Ongoing,"Catch-up classes, summer camps",01-Dec-15,01-Sep-16,248
01-Jan-16,Education,Norwegian Refugee Council,,,Luhanska,Станично-Луганський,GCA,Completed,Emergency repairs to educational infrastructure inclusive of WASH,21-Jan-16,29-Jan-16,68
01-Jan-16,Education,Norwegian Refugee Council,,,Luhanska,Попаснянський,GCA,Completed,Emergency repairs to educational infrastructure inclusive of WASH,24-Jan-16,24-Jan-16,194
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Артемівський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Волноваський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Волноваський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Волноваський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Дзержинськ,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Donetska,Дзержинськ,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Luhanska,Попаснянський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Luhanska,Станично-Луганський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Luhanska,Станично-Луганський,GCA,Completed,Provision of agriculture inputs,,,
01-Jan-16,Food Security,Food and Agriculture Organisation,,,Kharkivska,Вовчанський,GCA,Ongoing,Other,,,
