"Day, Month, Year", Oblast,PCODE1,Raion,PCODE2,Urban-type settlement,PCODE3,[Admin4],PCODE4,Latitude,Longitude,Name of school / learning center,Type of school/ learning center,Type of education,Control area,Activity,Status,Activity start date,Activity completion date,Total Beneficiaries,Total ADULT Beneficiaries,Female,Male,Total CHILDREN Beneficiaries,Girls,Boys,Number of ECCD Units,Number of Schools/Kindergartens,Comments
2016-01-01,Dnipropetrovsk,1200000000,Pаvlohrаd,1212400000,Pavlohradska,1212400000,,,48.5340775175,35.8787045102,,,,GCA,Establish and support early childhood care and development (ECCD) units,Completed,2016-02-28,2016-03-31,20,0,,,20,,,1,,ECCD unit repair
2016-01-01,Dnipropetrovsk,1200000000,Nikopol,1211600000,Nikopolska,1211600000,,,47.5781959992,34.3793324235,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-11-01,2016-03-31,30,0,,,30,14,16,,,Catch up classes 
2016-01-01,Zaporizhzhya,2300000000,Berdiansk,2310400000,Berdianska,2310400000,,,46.7715691669,36.7757377491,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-04-30,2016-03-31,30,0,,,30,15,15,,,Catch up classes 
2016-01-01,Dnipropetrovsk,1200000000,Pаvlohrаd,1212400000,Pavlohradska,1212400000,,,48.5340775175,35.8787045102,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-01-11,2016-03-31,54,0,,,54,30,24,,,Catch up classes 
2016-01-01,Dnipropetrovsk,1200000000,Pershotrаvensk,1212600000,Pershotravenska,1212600000,,,48.3489159745,36.4022517512,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-01-11,2016-03-31,60,0,,,60,29,31,,,Catch up classes 
2016-01-01,Zaporizhzhya,2300000000,Zаporizhzhia,2310100000,Zaporizka,2310100000,,,47.8496015005,35.1859553051,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-01-11,2016-03-31,123,0,,,123,49,74,,,Catch up classes 
2016-01-01,Zaporizhzhya,2300000000,Melitopol,2310700000,Melitopolska,2310700000,,,46.8465848698,35.3650228652,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-01-11,2016-03-31,24,0,,,24,15,9,,,Catch up classes 
2016-01-01,Zaporizhzhya,2300000000,Berdiansk,2310400000,Berdianska,2310400000,,,46.7715691669,36.7757377491,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-01-11,2016-03-31,92,0,,,92,49,43,,,Catch up classes 
2016-01-12,Dnipropetrovsk,1200000000,Mezhivskyi,1222600000,Mezhivska,1222655100,,,48.2550646073,36.7302214786,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-11-10,2016-03-31,1055,50,48,2,1005,513,492,,,Catch up classes 
2016-01-12,Zaporizhzhya,2300000000,Melitopol,2310700000,Melitopolska,2310700000,,,46.8465848698,35.3650228652,,,,GCA,Establish and support early childhood care and development (ECCD) units,Ongoing,2015-12-23,2016-03-31,29,0,,,29,14,15,1,,ECCD unit repair
2016-01-12,Zaporizhzhya,2300000000,Berdiansk,2310400000,Berdianska,2310400000,,,46.7715691669,36.7757377491,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-01-12,2016-03-31,255,0,,,255,127,128,,,Catch up classes
2016-01-12,Dnipropetrovsk,1200000000,Mezhivskyi,1222600000,Mezhivska,1222655100,,,48.2550646073,36.7302214786,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-01-12,2016-03-31,30,0,,,30,19,11,,,Catch up classes
2016-01-25,Donetsk,1400000000,Artemivsk,1410300000,Artemivska,1410300000,,,48.5966205994,37.9946152071,,,,GCA,"Capacity building of teachers on identified priority topics (i.e. PFA, stress management/selfcare, inclusive education, referral systems )",Completed,2016-01-21,2016-02-28,26,26,25,1,0,,,,,HEART training
2016-01-31,Donetsk,1400000000,Sloviansk,1414100000,Slovianska,1414100000,,,48.849577334,37.5961899183,,,,GCA,"Capacity building of teachers on identified priority topics (i.e. PFA, stress management/selfcare, inclusive education, referral systems )",Completed,2016-01-19,2016-02-01,6,6,3,3,0,,,,,Mine Risk Education
2015-11-10,Luhansk,4400000000,Stаnychno-Luhаnskyi,4424800000,Stanychno-luhanska,4424855100,,,48.6553030781,39.4750546234,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-11-24,2016-01-22,240,60,,,180,,,,,Stanichno Lugansk School №1
2015-11-10,Luhansk,4400000000,Novoаidаrskyi,4423100000,Trokhizbenska,#N/A,,,,,,,,GCA,Emergency repairs to educational infrastructure inclusive of WASH.,Completed,2015-01-11,2016-01-11,42,7,,,35,,,,,Trokhizbenskiy kindergarden
2016-02-05,Kyiv City,8000000000,Kyiv,8000000000,Kyivska,8000000000,,,50.448392133,30.5475189417,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-11-01,2016-05-31,144,109,,,35,21,14,,,
2015-10-01,Kharkiv,6300000000,Khаrkiv,6310100000,Kharkivska,6310100000,,,49.9760938062,36.2673856804,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-10-01,,949,345,294,51,604,205,399,,,
2016-03-10,Kharkiv,6300000000,Khаrkiv,6310100000,Kharkivska,6310100000,,,49.9760938062,36.2673856804,,,,GCA,"Provision of protective, non-formal education inclusive of life-saving messages through catch-up classes, summer camps and other learning opportunities.",Ongoing,2015-12-21,,30,0,,,30,14,16,,,
